00:16:F8,QTECH
00:17:0E,Cisco
00:17:0F,Cisco
00:17:3B,Cisco
00:17:4B,Nokia
00:17:59,Cisco
00:17:5A,Cisco
00:17:94,Cisco
00:17:95,Cisco
00:17:9A,D-Link
00:17:B0,Nokia
00:17:CB,Juniper
00:17:CC,Nokia
00:17:DF,Cisco
00:17:E0,Cisco
00:18:0F,Nokia
00:18:18,Cisco
00:18:19,Cisco
00:18:42,Nokia
00:18:73,Cisco
00:18:74,Cisco
00:18:82,Huawei
00:18:8D,Nokia
00:18:B9,Cisco
00:18:BA,Cisco
00:18:C5,Nokia
00:19:06,Cisco
00:19:07,Cisco
00:19:2D,Nokia
00:19:2F,Cisco
00:19:30,Cisco
00:19:4F,Nokia
00:19:55,Cisco
00:19:56,Cisco
00:19:5B,D-Link
00:19:77,Extreme
00:19:79,Nokia
00:19:8F,Nokia
00:19:A9,Cisco
00:19:AA,Cisco
00:19:B7,Nokia
00:19:CB,Zyxel
00:19:E0,TP-Link
00:19:E2,Juniper
00:19:E7,Cisco
00:19:E8,Cisco
00:1A:16,Nokia
00:1A:2F,Cisco
00:1A:30,Cisco
00:1A:6C,Cisco
00:1A:6D,Cisco
00:1A:89,Nokia
00:1A:A1,Cisco
00:1A:A2,Cisco
00:1A:DC,Nokia
00:1A:E2,Cisco
00:1A:E3,Cisco
00:1A:F0,Nokia
00:1B:0C,Cisco
00:1B:0D,Cisco
00:1B:11,D-Link
00:1B:2A,Cisco
00:1B:2B,Cisco
00:1B:33,Nokia
00:1B:53,Cisco
00:1B:54,Cisco
00:1B:67,Cisco
00:1B:8F,Cisco
00:1B:90,Cisco
00:1B:AF,Nokia
00:1B:C0,Juniper
00:1B:D4,Cisco
00:1B:D5,Cisco
00:1B:EE,Nokia
00:1C:0E,Cisco
00:1C:0F,Cisco
00:1C:35,Nokia
00:1C:57,Cisco
00:1C:58,Cisco
00:1C:73,Arista
00:1C:8E,Nokia
00:1C:9A,Nokia
00:1C:B0,Cisco
00:1C:B1,Cisco
00:1C:D4,Nokia
00:1C:D6,Nokia
00:1C:F0,D-Link
00:1C:F6,Cisco
00:1C:F9,Cisco
00:1D:0F,TP-Link
00:1D:3B,Nokia
00:1D:45,Cisco
00:1D:46,Cisco
00:1D:4C,Nokia
00:1D:6E,Nokia
00:1D:70,Cisco
00:1D:71,Cisco
00:1D:98,Nokia
00:1D:A1,Cisco
00:1D:A2,Cisco
00:1D:B5,Juniper
00:1D:E5,Cisco
00:1D:E6,Cisco
00:1D:E9,Nokia
00:1D:FD,Nokia
00:1E:10,Huawei
00:1E:13,Cisco
00:1E:14,Cisco
00:1E:3A,Nokia
00:1E:3B,Nokia
00:1E:49,Cisco
00:1E:4A,Cisco
00:1E:58,D-Link
00:1E:79,Cisco
00:1E:7A,Cisco
00:1E:A3,Nokia
00:1E:A4,Nokia
00:1E:BD,Cisco
00:1E:BE,Cisco
00:1E:F6,Cisco
00:1E:F7,Cisco
00:1F:00,Nokia
00:1F:01,Nokia
00:1F:12,Juniper
00:1F:26,Cisco
00:1F:27,Cisco
00:1F:5C,Nokia
00:1F:5D,Nokia
00:1F:6C,Cisco
00:1F:6D,Cisco
00:1F:9D,Cisco
00:1F:9E,Cisco
00:1F:C9,Cisco
00:1F:CA,Cisco
00:1F:CE,QTECH
00:1F:DE,Nokia
00:1F:DF,Nokia
00:20:DA,Nokia
00:21:05,Nokia
00:21:08,Nokia
00:21:09,Nokia
00:21:1B,Cisco
00:21:1C,Cisco
00:21:27,TP-Link
00:21:35,Nokia
00:21:55,Cisco
00:21:56,Cisco
00:21:59,Juniper
00:21:91,D-Link
00:21:A0,Cisco
00:21:A1,Cisco
00:21:AA,Nokia
00:21:AB,Nokia
00:21:AE,Nokia
00:21:D7,Cisco
00:21:D8,Cisco
00:21:FC,Nokia
00:21:FE,Nokia
00:22:0C,Cisco
00:22:0D,Cisco
00:22:55,Cisco
00:22:56,Cisco
00:22:65,Nokia
00:22:66,Nokia
00:22:83,Juniper
00:22:90,Cisco
00:22:91,Cisco
00:22:A1,Huawei
00:22:B0,D-Link
00:22:BD,Cisco
00:22:BE,Cisco
00:22:FC,Nokia
00:22:FD,Nokia
00:23:04,Cisco
00:23:05,Cisco
00:23:33,Cisco
00:23:34,Cisco
00:23:3E,Nokia
00:23:5D,Cisco
00:23:5E,Cisco
00:23:9C,Juniper
00:23:AB,Cisco
00:23:AC,Cisco
00:23:B4,Nokia
00:23:CD,TP-Link
00:23:EA,Cisco
00:23:EB,Cisco
00:23:F8,Zyxel
00:24:01,D-Link
00:24:03,Nokia
00:24:04,Nokia
00:24:13,Cisco
00:24:14,Cisco
00:24:50,Cisco
00:24:51,Cisco
00:24:7C,Nokia
00:24:7D,Nokia
00:24:97,Cisco
00:24:98,Cisco
00:24:C3,Cisco
00:24:C4,Cisco
00:24:DC,Juniper
00:24:F7,Cisco
00:24:F9,Cisco
00:25:45,Cisco
00:25:46,Cisco
00:25:47,Nokia
00:25:48,Nokia
00:25:68,Huawei
00:25:83,Cisco
00:25:84,Cisco
00:25:86,TP-Link
00:25:9E,Huawei
00:25:B4,Cisco
00:25:B5,Cisco
00:25:BA,Nokia
00:25:CF,Nokia
00:25:D0,Nokia
00:26:0A,Cisco
00:26:0B,Cisco
00:26:51,Cisco
00:26:52,Cisco
00:26:5A,D-Link
00:26:68,Nokia
00:26:69,Nokia
00:26:88,Juniper
00:26:98,Cisco
00:26:99,Cisco
00:26:CA,Cisco
00:26:CB,Cisco
00:26:CC,Nokia
00:27:0C,Cisco
00:27:0D,Cisco
00:27:19,TP-Link
00:27:90,Cisco
00:27:E3,Cisco
00:29:C2,Cisco
00:2A:10,Cisco
00:2A:6A,Cisco
00:2C:C8,Cisco
00:2E:C7,Huawei
00:2F:5C,Cisco
00:30:19,Cisco
00:30:24,Cisco
00:30:40,Cisco
00:30:71,Cisco
00:30:78,Cisco
00:30:7B,Cisco
00:30:80,Cisco
00:30:85,Cisco
00:30:94,Cisco
00:30:96,Cisco
00:30:A3,Cisco
00:30:B6,Cisco
00:30:F2,Cisco
00:31:26,Nokia
00:31:46,Juniper
00:31:92,TP-Link
00:32:17,Cisco
00:34:FE,Huawei
00:35:1A,Cisco
00:38:DF,Cisco
00:3A:7D,Cisco
00:3A:98,Cisco
00:3A:99,Cisco
00:3A:9A,Cisco
00:3A:9B,Cisco
00:3A:9C,Cisco
00:3C:10,Cisco
00:3D:E1,Huawei
00:40:0B,Cisco
00:40:43,Nokia
00:40:96,Cisco
00:41:D2,Cisco
00:42:5A,Cisco
00:42:68,Cisco
00:45:1D,Cisco
00:46:4B,Huawei
